Train/Steps,Loss/Loss_critic,Loss/Loss_actor,Loss/Loss_alpha,Loss/Loss_state_action_metric,Loss/Loss_state_metric,Loss/Loss_state_action_to_state,Loss/Loss_representation,SAC/Alpha,SAC/LogPi_mean,SAC/Q1_mean,SAC/Q2_mean,Norm/actor_model,Norm/critic_model,Norm/state_action_metric_model,Norm/state_metric_model,Norm/state_action_state_metric_model,Norm/rep_model,Eval/Return
11000,0.00343366339802742,-2.197998046875,0.7568113207817078,0.00027504522586241364,0.0008115905802696943,0.020444359630346298,0.018405955,0.07533801347017288,-4.045543193817139,1.9130053520202637,1.9118098020553589,27.696972,39.713955,27.483498,27.627062,27.341442,32.491688,1.0204887
12000,0.0017612185329198837,-3.3244717121124268,0.5896092057228088,0.0002291578275617212,0.001793836010619998,0.017113151028752327,0.01463581,0.05832109600305557,-4.109706878662109,3.0995211601257324,3.09920597076416,27.662685,39.783062,27.408953,27.527157,27.245367,32.528194,1.944965
13000,0.0020933409687131643,-4.160089492797852,0.4619225561618805,0.00018462154548615217,0.0018129332456737757,0.013314728625118732,0.015789535,0.04583214223384857,-4.0785722732543945,3.9610655307769775,3.9608395099639893,27.642546,39.77409,27.324802,27.45892,27.154428,32.618553,2.6729589
14000,0.06020454317331314,-4.684215545654297,0.3661513328552246,0.0044090221635997295,0.0028083736542612314,0.006305090617388487,0.02044916,0.036318231374025345,-4.08174991607666,4.5241007804870605,4.526030540466309,27.633263,39.739956,27.27805,27.414585,27.106197,32.788376,3.3554695
15000,0.0029456389602273703,-5.055050849914551,0.29068735241889954,0.00015089080261532217,0.003875510999932885,0.0126742422580719,0.012932211,0.028912443667650223,-4.0540571212768555,4.947432041168213,4.946438789367676,27.6343,39.67557,27.242992,27.378561,27.069653,33.02948,3.8617828
16000,0.3814901113510132,-5.238824367523193,0.23130975663661957,0.005036232993006706,0.0015087616629898548,0.007694064639508724,0.0156836,0.023074794560670853,-4.024347305297852,5.201435565948486,5.200478553771973,27.648922,39.65091,27.226063,27.36624,27.045341,33.270016,3.4077759
17000,0.0021506668999791145,-5.399996757507324,0.18352751433849335,0.00013914168812334538,0.0015087868086993694,0.012375611811876297,0.016958056,0.018445657566189766,-3.949632167816162,5.34497594833374,5.345142364501953,27.682158,39.668304,27.19836,27.365433,27.021093,33.585102,4.0335884
18000,0.0063834842294454575,-5.442666053771973,0.14738431572914124,0.00017017900245264173,0.0019169962033629417,0.011432931758463383,0.013697857,0.014754467643797398,-3.989131212234497,5.3888654708862305,5.387267589569092,27.725246,39.651867,27.192225,27.35439,27.035604,33.820007,5.019883
19000,0.002698741853237152,-5.438327789306641,0.11695761233568192,0.0001972722093341872,0.0017896322533488274,0.012218798510730267,0.0120649105,0.011817133985459805,-3.8972907066345215,5.377590179443359,5.381626129150391,27.815887,39.669937,27.202703,27.38,27.01552,34.064255,5.474506
20000,0.0176042839884758,-5.387355804443359,0.09300064295530319,0.0001960237859748304,0.001777926692739129,0.016004305332899094,0.014292138,0.00946677103638649,-3.8239030838012695,5.3448028564453125,5.341809272766113,27.938967,39.721992,27.213161,27.40302,27.00403,34.36747,4.0297546
21000,0.11305856704711914,-5.300215721130371,0.07459255307912827,0.005123436916619539,0.0019324845634400845,0.007368157617747784,0.016331831,0.0075893765315413475,-3.8285489082336426,5.265069007873535,5.26402473449707,28.046995,39.701927,27.217035,27.422735,27.015081,34.595074,4.525594
22000,0.13521188497543335,-5.138668060302734,0.05766972526907921,0.005614807829260826,0.0023100441321730614,0.006543678231537342,0.022176098,0.006088902708142996,-3.4712839126586914,5.147698402404785,5.1431989669799805,28.23715,39.710453,27.256935,27.469898,27.014042,34.823696,5.225172
23000,0.002264991169795394,-5.034123420715332,0.0449136383831501,0.00017486620345152915,0.001630664337426424,0.012737348675727844,0.016646428,0.0048930165357887745,-3.1791300773620605,5.018838882446289,5.016542911529541,28.4912,39.769432,27.311716,27.533205,26.989517,35.021828,5.3520956
24000,0.005899411626160145,-4.886661529541016,0.03457450494170189,0.00018666440155357122,0.0025504447985440493,0.012508627027273178,0.016960986,0.003938761074095964,-2.778015613555908,4.873584270477295,4.873749732971191,28.730282,39.78577,27.347692,27.573565,26.985216,35.185486,5.678869
25000,0.17397332191467285,-4.753250598907471,0.027050478383898735,0.006812426261603832,0.002790454775094986,0.007765846326947212,0.019642007,0.003200431354343891,-2.4521350860595703,4.729510307312012,4.7318806648254395,29.004265,39.7312,27.392954,27.59218,26.97849,35.44095,8.511991
26000,0.004613067023456097,-4.5728254318237305,0.019178293645381927,0.00020394663442857563,0.003371336730197072,0.014204935170710087,0.019683205,0.0025704370345920324,-1.46110200881958,4.550563335418701,4.548098564147949,29.238615,39.774837,27.431189,27.619253,26.963333,35.625843,11.3800955
27000,0.005333426408469677,-4.424346923828125,0.016095200553536415,0.00012323589180596173,0.004481702111661434,0.014756392687559128,0.025407018,0.0021107555367052555,-1.6253265142440796,4.402250289916992,4.403923988342285,29.584696,39.801697,27.478369,27.681337,26.975845,35.8734,13.049695
28000,0.005287557374686003,-4.343935966491699,0.0079617565497756,0.00017195082909893245,0.0061996071599423885,0.015704592689871788,0.014770977,0.0017298506572842598,1.3974316120147705,4.327574253082275,4.327645778656006,29.814577,39.84264,27.50826,27.741789,27.02051,36.049423,18.077442
29000,0.005988579709082842,-4.226163864135742,0.005848139524459839,0.00025781855219975114,0.007072999142110348,0.018965251743793488,0.0177347,0.0014649583026766777,2.0079822540283203,4.1952972412109375,4.1992340087890625,30.131931,39.965317,27.545338,27.861032,27.043598,36.302483,19.295805
30000,0.009062448516488075,-4.161215782165527,0.0028344104066491127,0.005387970712035894,0.013935075141489506,0.004354555159807205,0.02070389,0.0012719035148620605,3.7715208530426025,4.122330188751221,4.1204681396484375,30.385782,40.146854,27.59019,27.989624,27.065916,36.560383,23.069014
31000,0.11231856048107147,-4.068698883056641,0.002791882026940584,0.009401385672390461,0.011285913176834583,0.007305072620511055,0.021567162,0.0010787759674713016,3.4119908809661865,4.059744834899902,4.057563781738281,30.67026,40.315346,27.642643,28.053024,27.116724,36.79155,26.077444
32000,0.013693834654986858,-4.088895320892334,0.00017162425501737744,0.0007440890185534954,0.010687481611967087,0.03774355724453926,0.027901076,0.0009779828833416104,5.824512004852295,4.0736823081970215,4.066463947296143,31.130135,40.52031,27.679277,28.15114,27.170168,37.110107,26.733408
33000,0.02804923802614212,-4.120055675506592,-0.008108648471534252,0.0025196033529937267,0.023616500198841095,0.06516153365373611,0.02632298,0.0009755013743415475,14.312288284301758,4.005956649780273,4.010366439819336,31.439356,40.756317,27.740189,28.212507,27.217026,37.38105,28.702576
34000,0.020139727741479874,-4.176833152770996,-0.002012494020164013,0.001808827742934227,0.016269030049443245,0.04583810269832611,0.019631697,0.0012522407341748476,7.607114315032959,4.09627628326416,4.092705726623535,31.491077,41.00666,27.808197,28.262287,27.270664,37.64196,24.030441
35000,0.017751414328813553,-4.118658065795898,0.0013362893369048834,0.0021501306910067797,0.01688191667199135,0.047559015452861786,0.034685075,0.0011762629728764296,4.863953590393066,4.095948219299316,4.0980119705200195,31.770262,41.139587,27.863716,28.321978,27.306839,37.88931,21.736378
36000,0.05041559040546417,-4.070560932159424,-0.0016347944037988782,0.0019798409193754196,0.017582960426807404,0.03358279541134834,0.024683315,0.0009968929225578904,7.639889717102051,4.00787353515625,4.010402679443359,32.003284,41.25559,27.886917,28.387373,27.326698,38.146408,29.420471
37000,0.01738937757909298,-4.061280250549316,-2.8147585908300243e-05,0.0020797650795429945,0.017840713262557983,0.02184823900461197,0.025842259,0.0009023474412970245,6.031193733215332,4.011780261993408,4.015187740325928,32.314575,41.367863,27.90629,28.427094,27.346802,38.41675,32.134304
38000,0.0164459440857172,-3.932677984237671,0.0008606695919297636,0.003754568751901388,0.015760743990540504,0.06864375621080399,0.02773569,0.0007758014835417271,4.890605926513672,3.9156389236450195,3.9126698970794678,32.661964,41.430126,27.941446,28.463427,27.373827,38.635098,30.16363
39000,0.14736682176589966,-3.9030954837799072,0.0006879690918140113,0.0154349897056818,0.027573533356189728,0.007162204012274742,0.029643297,0.0007887959945946932,5.127823829650879,3.8875041007995605,3.882342576980591,32.966274,41.566853,27.974712,28.52281,27.383831,38.889366,23.276606
40000,0.013333234935998917,-3.889596939086914,0.0004801888717338443,0.0018874761881306767,0.01621921733021736,0.05243608355522156,0.03858805,0.0007444100920110941,5.354940414428711,3.8599607944488525,3.859119415283203,33.28486,41.6975,28.000866,28.567858,27.416702,39.142086,17.108194
